What is the capital of the USA?, New York;Los Angeles;Washington D.C.;Chicago, Washington D.C.
Which state is known as the 'Sunshine State'?, California;Florida;Texas;Hawaii, Florida
Who was the first President of the United States?, George Washington;Thomas Jefferson;Abraham Lincoln;John Adams, George Washington
What is the largest state in the USA by area?, Alaska;Texas;California;Montana, Alaska
What is the national anthem of the USA?, America the Beautiful;God Bless America;The StarSpangled Banner;My Country&c 'Tis of Thee, The StarSpangled Banner
Which U.S. state was the last to join the Union?, Hawaii;Alaska;Arizona;New Mexico, Hawaii
What is the longest river in the USA?, Mississippi;Missouri;Colorado;Rio Grande, Missouri
What is the tallest mountain in the USA?, Denali;Mount Whitney;Mount Rainier;Mount Elbert, Denali
Which U.S. city is known as the 'Windy City'?, Chicago;New York;San Francisco;Miami, Chicago
What is the most populous city in the USA?, New York City;Los Angeles;Chicago;Houston, New York City
Which U.S. state is known for producing the most peaches?, Georgia;South Carolina;California;Florida, Georgia
What is the smallest state in the USA by area?, Rhode Island;Delaware;Connecticut;New Hampshire, Rhode Island
Which U.S. state has the nickname 'The Last Frontier'?, Alaska;California;Texas;Arizona, Alaska
What is the name of the first constitution of the USA?, Articles of Confederation;Bill of Rights;Declaration of Independence;Constitution, Articles of Confederation
Who designed the current U.S. flag?, Robert G. Heft;Betsy Ross;Francis Hopkinson;Mary Pickersgill, Robert G. Heft
Which U.S. state is known as the 'Land of 10&c000 Lakes'?, Minnesota;Michigan;Wisconsin;Alaska, Minnesota
What is the largest desert in the USA?, Mojave;Sonoran;Great Basin;Chihuahuan, Great Basin
Which U.S. state is famous for its volcanoes?, Hawaii;Washington;California;Alaska, Hawaii
What is the name of the largest canyon in the USA?, Grand Canyon;Bryce Canyon;Antelope Canyon;Kings Canyon, Grand Canyon
Which U.S. state is known as the 'Birthplace of Aviation'?, North Carolina;Ohio;New York;California, Ohio
What is the name of the GPS system operated by the U.S.?, NAVSTAR;Galileo;GLONASS;BeiDou, NAVSTAR
Which U.S. state has the most national parks?, California;Utah;Colorado;Alaska, California
What is the name of the U.S. Air Force's demonstration squadron?, Blue Angels;Thunderbirds;Red Arrows;Snowbirds, Thunderbirds
What is the highestgrossing film of all time in the USA?, Avatar;Avengers: Endgame;Titanic;Star Wars: The Force Awakens, Avengers: Endgame
Which U.S. state is known as the 'Mother of Presidents'?, Virginia;Massachusetts;New York;Ohio, Virginia
What is the name of the first successful waterpowered cottonspinning factory in the USA?, Slater Mill;Lowell Mill;Boott Mill;Jackson Mill, Slater Mill
What is the largest lake in the USA?, Lake Superior;Lake Michigan;Lake Huron;Lake Erie, Lake Superior
Which U.S. city is known for its jazz music?, New Orleans;Chicago;New York;Los Angeles, New Orleans
What is the name of the oldest river in North America?, New River;Mississippi River;Colorado River;Hudson River, New River
What is the name of the largest coal reserves in the world?, Powder River Basin;Appalachian Basin;Illinois Basin;Uinta Basin, Powder River Basin
